,info,occupation,zip_code
170,F48,educator,78750
171,M55,marketing,22207
172,M56,other,22306
173,F30,administrator,52302
174,F26,scientist,21911
175,M28,scientist,07030
176,M20,programmer,19104
177,M26,other,49512
178,M15,entertainment,20755
179,F22,administrator,60202
180,M26,executive,21218
181,M36,programmer,33884
182,M33,scientist,27708
183,M37,librarian,76013
184,F53,librarian,97403
185,F39,executive,00000
186,M26,educator,16801
187,M42,student,29440
188,M32,artist,95014
189,M30,administrator,95938
190,M33,administrator,95161
191,M42,educator,90840
192,M29,student,49931
193,M38,administrator,02154
194,M42,scientist,93555
195,M49,writer,55105
196,M55,technician,75094
197,F21,student,55414
198,M30,writer,17604
199,M40,programmer,93402
200,M27,writer,E2A4H
201,F41,educator,60201
202,F25,student,32301
203,F52,librarian,10960
204,M47,lawyer,06371
205,F14,student,53115
206,M39,marketing,92037
207,M43,engineer,01720
208,F33,educator,85710
209,M39,engineer,03060
210,M66,salesman,32605
211,F49,educator,61401
212,M33,executive,55345
213,F26,librarian,11231
214,M35,programmer,63033
215,M22,engineer,02215
216,M22,other,11727
217,M37,administrator,06513
218,M32,programmer,43212
219,M30,librarian,78205
220,M19,student,20685
221,M29,programmer,27502
222,F19,student,47906
223,F31,educator,43512
224,F51,administrator,58202
225,M28,student,92103
226,M46,executive,60659
227,F21,student,22003
228,F29,librarian,22903
229,F28,student,14476
230,M48,librarian,01080
231,M45,scientist,99709
232,M38,engineer,98682
233,M60,retired,94702
234,M37,educator,22973
235,F44,writer,53214
236,M49,administrator,63146
237,F42,administrator,44124
238,M39,artist,95628
239,F23,educator,20784
240,F26,student,20001
241,M33,educator,31404
242,M33,educator,60201
243,M28,technician,80525
244,M22,student,55109
245,M19,student,28734
246,M28,engineer,20770
247,M25,student,37235
248,M25,student,84103
249,M29,executive,95110
250,M28,doctor,85032
251,M42,engineer,07733
252,F26,librarian,22903
253,M44,educator,42647
254,M23,entertainment,07029
255,F35,none,39042
256,M17,student,77005
257,F19,student,77801
258,M21,student,48823
259,F40,artist,89801
260,M28,administrator,85202
261,F19,student,78264
262,M41,programmer,55346
263,F36,writer,90064
264,M26,executive,84601
265,F62,administrator,78756
266,M23,engineer,83716
267,M24,engineer,19422
268,F31,librarian,43201
269,F18,student,63119
270,M51,engineer,22932
271,M33,scientist,53706
272,F50,other,10016
273,F20,student,55414
274,M38,engineer,92064
275,M21,student,95064
276,F35,administrator,55406
277,F37,librarian,30033
278,M33,programmer,85251
279,F30,librarian,22903
280,F15,student,06059
281,M22,administrator,20057
282,M28,programmer,55305
283,M40,executive,92629
284,M25,programmer,53713
285,M27,student,15217
286,M21,salesman,31211
287,M34,marketing,23226
288,M11,none,94619
289,M40,engineer,93550
290,M19,student,44106
291,F35,programmer,94703
292,M24,writer,60804
293,M34,technician,92110
294,M31,educator,50325
295,F43,administrator,16803
296,F29,educator,98103
297,M44,executive,01581
298,M29,doctor,63108
299,F26,programmer,55106
300,M24,student,55439
301,M42,educator,77904
302,M19,student,14853
303,F22,student,71701
304,M23,programmer,94086
305,M45,other,73132
306,M25,student,55454
307,M60,retired,95076
308,M40,scientist,70802
309,M37,educator,91711
310,M32,technician,73071
311,M48,other,02110
312,M41,marketing,60035
313,F20,student,08043
314,M31,educator,18301
315,F43,other,77009
316,M22,administrator,13210
317,M65,retired,06518
318,M38,programmer,22030
319,M19,student,24060
320,F49,educator,55413
321,M20,student,50613
322,M21,student,19149
323,F21,student,02176
324,M48,technician,02139
325,M41,administrator,15235
326,M22,student,11101
327,M51,administrator,06779
328,M48,educator,01720
329,F35,educator,33884
330,M33,entertainment,91344
331,M20,student,40504
332,M47,other,V0R2M
333,M32,librarian,30002
334,M45,executive,33775
335,M23,salesman,42101
336,M37,scientist,10522
337,F39,librarian,59717
338,M35,lawyer,37901
339,M46,engineer,80123
340,F17,student,44405
341,F25,other,98006
342,M43,engineer,30093
343,F30,librarian,94117
344,F28,librarian,94143
345,M34,other,76059
346,M18,student,90210
347,F24,student,45660
348,M68,retired,61455
349,M32,student,97301
350,M61,educator,49938
351,F37,programmer,55105
352,M25,scientist,28480
353,F29,librarian,48197
354,M25,student,60135
355,F32,homemaker,92688
356,M26,executive,98133
357,M40,educator,10022
358,M22,student,61801
359,M51,other,98027
360,M22,student,44074
361,F35,homemaker,85233
362,M20,student,87501
363,M63,engineer,01810
364,M29,lawyer,20009
365,F20,student,50670
366,M17,student,37411
367,M18,student,92113
368,M24,student,91335
369,M52,writer,08534
370,M36,engineer,99206
371,F25,student,66046
372,F24,other,55116
373,M36,executive,78746
374,M17,entertainment,37777
375,F28,other,10010
376,M22,student,18015
377,M35,student,02859
378,M44,programmer,98117
379,M32,engineer,55117
380,M33,artist,94608
381,M45,engineer,01824
382,M42,administrator,75204
383,M52,programmer,45218
384,M36,writer,10003
385,M36,salesman,43221
386,M33,entertainment,37412
387,M31,other,36106
388,F44,writer,83702
389,F42,writer,85016
390,M23,student,84604
391,M52,writer,59801
392,M19,student,83686
393,M25,administrator,96819
394,M43,other,44092
395,M57,engineer,94551
396,M17,student,27514
397,M40,other,60008
398,M25,other,92374
399,F33,administrator,78213
400,F46,healthcare,84107
401,M30,engineer,95129
402,M37,other,06811
403,F29,programmer,55108
404,F22,healthcare,10019
405,M52,educator,93109
406,M29,engineer,03261
407,M23,student,61755
408,M48,administrator,98225
409,F30,artist,94025
410,M34,educator,44691
411,M25,educator,15222
412,M55,educator,78212
413,M24,programmer,38115
414,M39,educator,85711
415,F20,student,92626
416,F27,other,48103
417,F55,none,21206
418,M37,lawyer,43215
419,M53,educator,02140
420,F38,programmer,55105
421,M26,entertainment,94533
422,M64,other,91606
423,F36,marketing,55422
424,M19,student,58644
425,M55,educator,01602
426,M51,doctor,85258
427,M28,student,55414
428,M27,student,29205
429,M38,scientist,98199
430,M24,marketing,92629
431,M22,entertainment,50311
432,M27,artist,11211
433,F16,student,49705
434,M24,engineer,60007
435,F30,administrator,17345
436,F27,other,20009
437,F51,administrator,43204
438,F23,administrator,20817
439,M30,other,48076
440,M50,technician,55013
441,M22,student,85282
442,M35,salesman,33308
443,F51,lawyer,53202
444,M21,writer,92653
445,M57,educator,60201
446,M30,administrator,55113
447,M23,entertainment,10021
448,M23,librarian,55021
449,F35,educator,11758
450,M16,student,48446
451,M35,administrator,28018
452,M18,student,06333
453,M57,other,97330
454,M48,administrator,83709
455,M24,technician,31820
456,F33,salesman,30011
457,M47,technician,Y1A6B
458,M22,student,29201
459,F44,other,60630
460,M15,student,98102
461,F19,student,02918
462,F48,healthcare,75218
463,M60,writer,94583
464,M32,other,05001
465,M22,student,90804
466,M29,engineer,91201
467,M28,engineer,02341
468,M60,educator,78628
469,M24,programmer,10021
470,M10,student,77459
471,M24,student,87544
472,M29,student,94708
473,M51,executive,93711
474,M30,programmer,75230
475,M28,student,60440
476,F23,student,02125
477,M29,other,10019
478,M30,educator,55409
479,M57,retired,98257
480,M73,retired,37771
481,F18,student,40256
482,M29,scientist,43212
483,M27,student,21208
484,F44,educator,95821
485,M39,educator,93101
486,M22,engineer,92121
487,M48,technician,21012
488,M55,other,45218
489,F29,artist,V5A2B
490,F43,writer,53711
491,M57,educator,94618
492,M22,engineer,60090
493,F38,administrator,49428
494,M29,engineer,03052
495,F21,student,55414
496,M20,student,50112
497,M26,writer,55408
498,M42,programmer,75006
499,M28,administrator,94305
500,M22,student,10025
501,M22,student,23092
502,F50,writer,27514
503,F40,writer,92115
504,F27,other,20657
505,M46,programmer,03869
506,F18,writer,28450
507,M27,marketing,19382
508,M23,administrator,10011
509,M34,other,98038
510,M22,student,21250
511,M29,other,20090
512,M43,administrator,26241
513,M27,programmer,20707
514,M53,marketing,49508
515,F53,librarian,10021
516,M24,student,55454
517,F49,writer,99709
518,M22,other,55320
519,M62,healthcare,12603
520,M19,student,02146
521,M36,engineer,55443
522,F50,administrator,04102
523,M56,educator,02159
524,F27,administrator,19711
525,M30,marketing,97124
526,M33,librarian,12180
527,M18,student,55104
528,F47,administrator,44224
529,M29,engineer,94040
530,F30,salesman,97408
531,M20,student,92705
532,M43,librarian,02324
533,M20,student,05464
534,F45,educator,80302
535,M38,engineer,30078
536,M36,engineer,22902
537,M31,scientist,21010
538,F53,administrator,80303
539,M28,engineer,91201
540,F19,student,84302
541,M21,student,60515
542,M33,scientist,95123
543,F44,other,29464
544,M27,technician,08052
545,M36,executive,22911
546,M50,educator,14534
547,M51,writer,95468
548,M42,scientist,45680
549,F16,student,95453
550,M25,programmer,55414
551,M45,other,68147
552,M58,educator,62901
553,M32,scientist,62901
554,F29,educator,23227
555,F35,educator,30606
556,F30,writer,11217
557,F56,writer,63132
558,M69,executive,10022
559,M32,student,10003
560,M23,engineer,60005
561,F54,administrator,20879
562,F39,librarian,32707
563,M65,retired,94591
564,M40,student,55422
565,M20,student,14627
566,M24,entertainment,10003
567,M39,educator,01915
568,M34,educator,91903
569,M26,educator,14627
570,M34,artist,01945
571,M51,educator,20003
572,M68,retired,48911
573,M56,educator,53188
574,M33,marketing,46032
575,M48,executive,98281
576,F36,student,77845
577,M31,administrator,M7A1A
578,M32,educator,48103
579,M16,student,17961
580,M37,other,94131
581,M17,student,93003
582,M44,engineer,29631
583,M25,student,27511
584,M69,librarian,98501
585,M20,student,79508
586,M26,other,14216
587,F18,student,93063
588,M21,lawyer,90034
589,M50,educator,82435
590,F57,librarian,92093
591,M18,student,97520
592,F31,educator,68767
593,M46,educator,M4J2K
594,M25,programmer,31909
595,M20,artist,77073
596,M23,other,84116
597,F40,marketing,43085
598,F22,student,R3T5K
599,M34,programmer,02320
600,F19,artist,99687
601,F47,other,34656
602,M21,programmer,47905
603,M39,educator,11787
604,M33,engineer,33716
605,M28,programmer,63044
606,F49,healthcare,02154
607,M22,other,10003
608,F13,student,55106
609,M22,student,21227
610,M46,librarian,77008
611,M36,educator,79070
612,F37,marketing,29678
613,M54,educator,80227
614,M38,educator,27705
615,M55,scientist,50613
616,F27,writer,11201
617,F15,student,44212
618,M17,student,44134
619,F18,writer,81648
620,M17,student,60402
621,M25,programmer,14850
622,F50,educator,60187
623,M19,student,30067
624,M27,programmer,20723
625,M23,scientist,19807
626,M24,engineer,08034
627,M13,none,94306
628,F46,other,44224
629,F26,healthcare,55408
630,F18,student,38866
631,M18,student,55454
632,M35,programmer,55414
633,M39,engineer,T8H1N
634,M22,other,23237
635,M47,educator,48043
636,M30,other,74101
637,M45,engineer,01940
638,F42,librarian,12065
639,M20,student,61801
640,M24,student,60626
641,F18,student,95521
642,M39,scientist,55122
643,M51,retired,63645
644,M27,programmer,53211
645,F17,student,51250
646,M40,educator,45810
647,M43,engineer,91351
648,M20,student,39762
649,M42,engineer,83814
650,M65,retired,02903
651,M35,other,22911
652,M31,executive,55105
653,F27,student,78739
654,F50,healthcare,60657
655,M48,educator,10314
656,F26,none,78704
657,M33,programmer,92626
658,M31,educator,54248
659,M26,student,77380
660,M28,programmer,98121
661,M55,librarian,19102
662,M26,other,19341
663,M30,engineer,94115
664,M25,administrator,55412
665,M44,administrator,61820
666,M35,librarian,01970
667,F29,writer,10016
668,M37,other,20009
669,M30,technician,21114
670,M21,programmer,91919
671,F54,administrator,90095
672,M51,educator,22906
673,F13,student,55337
674,M34,other,28814
675,M30,programmer,32712
676,M20,other,99835
677,M50,educator,61462
678,F20,student,54302
679,M33,lawyer,90405
680,F44,marketing,97208
681,M23,programmer,55128
682,M42,librarian,23509
683,M28,student,55414
684,F32,librarian,55409
685,M32,educator,26506
686,F31,healthcare,27713
687,F37,administrator,60476
688,M25,other,45439
689,M35,salesman,63304
690,M34,educator,60089
691,M34,engineer,18053
692,F43,healthcare,85210
693,M60,programmer,06365
694,M26,writer,38115
695,M55,other,94920
696,M25,other,77042
697,F28,programmer,06906
698,M44,other,96754
699,M17,student,76309
700,F51,librarian,56321
701,M37,other,89104
702,M26,educator,49512
703,F51,librarian,91105
704,F21,student,54494
705,M23,student,55454
706,F56,librarian,19146
707,F26,homemaker,96349
708,M21,other,N4T1A
709,M19,student,92020
710,F22,student,15203
711,F22,student,54901
712,F42,other,07204
713,M26,engineer,55343
714,M21,technician,91206
715,F36,administrator,44265
716,M24,technician,84105
717,M42,technician,64118
718,F37,other,V0R2H
719,F49,administrator,16506
720,F24,entertainment,11238
721,F50,homemaker,17331
722,M26,executive,94403
723,M31,executive,40243
724,M21,student,91711
725,F25,administrator,80538
726,M25,student,78741
727,M58,executive,94306
728,M19,student,56567
729,F31,scientist,32114
730,F41,educator,70403
731,F28,other,98405
732,F44,other,60630
733,F25,other,63108
734,F29,healthcare,85719
735,F48,writer,94618
736,M30,programmer,98072
737,M35,technician,95403
738,M35,technician,73162
739,F25,educator,22206
740,M25,writer,63108
741,M35,student,29210
742,M31,programmer,92660
743,M35,marketing,47024
744,M42,writer,55113
745,M25,engineer,19047
746,M19,other,93612
747,M28,administrator,94720
748,M33,other,80919
749,M28,administrator,32303
750,F24,other,90034
751,M60,retired,21201
752,M56,salesman,91206
753,F59,librarian,62901
754,F44,educator,97007
755,F30,none,90247
756,M26,student,55104
757,M27,student,53706
758,F20,student,68503
759,F35,other,14211
760,M17,student,97302
761,M32,administrator,95050
762,M27,scientist,02113
763,F27,educator,62903
764,M31,student,33066
765,M42,other,10960
766,M70,engineer,00000
767,M29,administrator,12866
768,M39,executive,06927
769,M28,student,14216
770,M26,student,15232
771,M50,writer,27105
772,M20,student,55414
773,M30,student,80027
774,M46,executive,90036
775,M30,librarian,51157
776,M63,programmer,01810
777,M34,student,01960
778,M31,student,K7L5J
779,M49,programmer,94560
780,M20,student,48825
781,F21,artist,33205
782,M30,marketing,77081
783,M47,administrator,91040
784,M32,engineer,23322
785,F36,engineer,01754
786,F18,student,98620
787,M51,administrator,05779
788,M29,other,55420
789,M27,technician,80913
790,M31,educator,20064
791,M40,programmer,12205
792,M22,student,85281
793,M32,educator,57197
794,M30,programmer,08610
795,F32,writer,33755
796,F44,other,62522
797,F40,writer,64131
798,F49,administrator,19716
799,M25,programmer,55337
800,M22,writer,92154
801,M35,administrator,34105
802,M70,administrator,78212
803,M39,educator,61820
804,F27,other,20009
805,M27,marketing,11217
806,F41,healthcare,93555
807,M45,salesman,90016
808,F50,marketing,30803
809,F55,other,80526
810,F40,educator,73013
811,M22,technician,76234
812,F14,student,02136
813,M30,other,12345
814,M32,other,28806
815,M34,other,20755
816,M19,student,60152
817,M28,librarian,27514
818,M59,administrator,40205
819,M22,student,37725
820,M37,engineer,77845
821,F29,librarian,53144
822,M27,artist,50322
823,M31,other,15017
824,M44,engineer,05452
825,M28,artist,77048
826,F23,engineer,80228
827,M28,librarian,85282
828,M48,writer,80209
829,M46,programmer,53066
830,M21,other,33765
831,M24,technician,77042
832,M34,writer,90019
833,M26,other,64153
834,F44,executive,11577
835,M44,artist,10018
836,F36,artist,55409
837,M23,student,01375
838,F38,entertainment,90814
839,M39,artist,55406
840,M45,doctor,47401
841,M40,writer,93055
842,M35,librarian,44212
843,M22,engineer,95662
844,M64,doctor,97405
845,M27,lawyer,47130
846,M29,student,55417
847,M46,engineer,02146
848,F15,student,25652
849,M34,technician,78390
850,M18,other,29646
851,M46,administrator,94086
852,M49,writer,40515
853,F29,student,55408
854,M53,librarian,04988
855,F43,marketing,97215
856,F35,administrator,V1G4L
857,M63,educator,09645
858,F18,other,06492
859,F70,retired,48322
860,F38,student,14085
861,M25,executive,13820
862,M17,student,60089
863,M27,programmer,63021
864,M25,artist,11231
865,M45,other,60302
866,M24,scientist,92507
867,M21,programmer,55303
868,M30,student,10025
869,M22,student,65203
870,M31,executive,44648
871,F19,student,74078
872,F48,administrator,33763
873,M36,scientist,37076
874,F24,student,35802
875,M41,other,20902
876,M30,other,77504
877,F50,educator,98027
878,F33,administrator,55337
879,M13,student,83702
880,M39,marketing,43017
881,M35,engineer,40503
882,M49,librarian,50266
883,M44,engineer,55337
884,F30,other,95316
885,M20,student,61820
886,F14,student,27249
887,M41,scientist,17036
888,M24,technician,78704
889,M32,student,97301
890,F51,administrator,03062
891,M36,other,45243
892,M25,student,95823
893,M47,educator,74075
894,F31,librarian,32301
895,M28,writer,91505
896,M30,other,33484
897,M23,homemaker,61755
898,M32,other,55116
899,M60,retired,18505
900,M38,executive,L1V3W
901,F45,artist,97203
902,M28,educator,20850
903,F17,student,61073
904,M27,other,30350
905,M45,librarian,70124
906,F25,other,80526
907,F44,librarian,68504
908,F50,educator,53171
909,M28,healthcare,29301
910,F37,writer,53210
911,M51,other,06512
912,M27,student,76201
913,F44,other,08105
914,M50,entertainment,60614
915,M27,engineer,N2L5N
916,F22,student,20006
917,M40,scientist,70116
918,M25,other,14216
919,F30,artist,90008
920,F20,student,98801
921,F29,administrator,21114
922,M21,student,E2E3R
923,M29,other,11753
924,F18,salesman,49036
925,M49,entertainment,01701
926,M23,programmer,55428
927,M21,student,55408
928,M44,scientist,53711
929,F28,scientist,07310
930,M60,educator,33556
931,M58,educator,06437
932,M28,student,48105
933,M61,engineer,22902
934,M42,doctor,66221
935,M24,other,32789
936,M48,educator,98072
937,F38,technician,55038
938,F26,student,33319
939,M32,administrator,02215
940,M20,student,97229
941,F48,librarian,78209
942,M22,student,77841
