Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
77,Super Mario Kart,SNES,"1,992",Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
78,FIFA 16,PS4,"2,015",Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
79,Wii Party,Wii,"2,010",Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
80,Halo 2,XB,"2,004",Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
81,Mario Party 8,Wii,"2,007",Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
82,Pokemon Black 2/Pokemon White 2,DS,"2,012",Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33
83,FIFA Soccer 13,PS3,"2,012",Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
84,The Sims 3,PC,"2,009",Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11
85,GoldenEye 007,N64,"1,997",Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
86,Mario & Sonic at the Olympic Games,Wii,"2,007",Sports,Sega,2.58,3.9,0.66,0.91,8.06
87,Final Fantasy X,PS2,"2,001",Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
