,Age,Height,Weight,Gender,Left - right handed,secondary school,college/bachelor degree,masters degree,primary school,currently a primary school pupil,doctorate degree
78,24.0,148.0,57.0,female,right handed,False,True,False,False,False,False
79,21.0,173.0,63.0,female,right handed,True,False,False,False,False,False
80,19.0,163.0,48.0,female,right handed,True,False,False,False,False,False
81,22.0,177.0,80.0,male,right handed,True,False,False,False,False,False
82,18.0,163.0,47.0,female,right handed,True,False,False,False,False,False
83,22.0,163.0,53.0,female,right handed,True,False,False,False,False,False
84,19.0,168.0,48.0,female,right handed,True,False,False,False,False,False
85,22.0,159.0,53.0,male,right handed,False,True,False,False,False,False
86,24.0,179.0,65.0,male,right handed,False,False,True,False,False,False
87,18.0,159.0,50.0,female,right handed,False,True,False,False,False,False
88,21.0,164.0,75.0,female,right handed,True,False,False,False,False,False
89,22.0,156.0,50.0,female,right handed,False,False,True,False,False,False
90,19.0,154.0,58.0,female,right handed,True,False,False,False,False,False
91,18.0,168.0,50.0,female,right handed,True,False,False,False,False,False
92,19.0,170.0,63.0,female,right handed,False,True,False,False,False,False
93,24.0,175.0,80.0,male,right handed,False,False,True,False,False,False
94,21.0,179.0,68.0,male,right handed,True,False,False,False,False,False
95,21.0,180.0,75.0,male,right handed,False,True,False,False,False,False
96,19.0,182.0,81.0,male,right handed,False,True,False,False,False,False
97,19.0,200.0,75.0,male,right handed,False,False,False,True,False,False
98,22.0,187.0,70.0,male,right handed,True,False,False,False,False,False
99,18.0,162.0,50.0,female,left handed,True,False,False,False,False,False
100,21.0,172.0,71.0,female,right handed,True,False,False,False,False,False
101,18.0,194.0,90.0,male,right handed,True,False,False,False,False,False
102,20.0,168.0,55.0,female,right handed,True,False,False,False,False,False
103,22.0,185.0,80.0,male,right handed,True,False,False,False,False,False
104,21.0,180.0,70.0,male,right handed,True,False,False,False,False,False
105,24.0,178.0,74.0,male,right handed,False,True,False,False,False,False
106,19.0,182.0,80.0,male,right handed,True,False,False,False,False,False
107,18.0,178.0,55.0,female,right handed,True,False,False,False,False,False
108,17.0,168.0,61.0,female,right handed,False,False,False,True,False,False
109,18.0,176.0,65.0,male,right handed,True,False,False,False,False,False
110,21.0,185.0,70.0,male,right handed,False,True,False,False,False,False
111,22.0,166.0,56.0,female,right handed,False,True,False,False,False,False
112,20.0,163.0,54.0,female,left handed,True,False,False,False,False,False
113,21.0,162.0,60.0,female,right handed,False,True,False,False,False,False
114,19.0,163.0,54.0,female,right handed,True,False,False,False,False,False
115,17.0,175.0,62.0,female,right handed,True,False,False,False,False,False
116,21.0,169.0,61.0,female,right handed,False,True,False,False,False,False
117,18.0,165.0,55.0,female,right handed,True,False,False,False,False,False
118,23.0,175.0,60.0,male,right handed,False,True,False,False,False,False
119,16.0,161.0,54.0,female,right handed,True,False,False,False,False,False
120,23.0,188.0,90.0,male,right handed,False,True,False,False,False,False
121,21.0,180.0,85.0,male,right handed,True,False,False,False,False,False
122,23.0,156.0,56.0,female,right handed,False,False,True,False,False,False
123,20.0,172.0,80.0,female,left handed,True,False,False,False,False,False
124,20.0,176.0,69.0,male,right handed,True,False,False,False,False,False
125,20.0,157.0,54.0,female,right handed,True,False,False,False,False,False
126,20.0,163.0,56.0,female,right handed,True,False,False,False,False,False
127,19.0,177.0,64.0,female,right handed,False,False,False,True,False,False
128,15.0,173.0,49.0,female,left handed,False,False,False,True,False,False
129,20.0,178.0,75.0,female,right handed,True,False,False,False,False,False
130,19.0,168.0,66.0,female,right handed,True,False,False,False,False,False
131,18.0,193.0,103.0,male,right handed,False,False,False,True,False,False
132,15.0,170.0,51.0,female,right handed,False,False,False,True,False,False
133,20.0,170.0,50.0,female,right handed,False,True,False,False,False,False
134,16.0,170.0,59.0,female,right handed,True,False,False,False,False,False
135,18.0,185.0,62.0,male,right handed,True,False,False,False,False,False
136,21.0,185.0,90.0,male,right handed,True,False,False,False,False,False
137,,,,,right handed,False,False,False,True,False,False
138,20.0,168.0,50.0,female,right handed,True,False,False,False,False,False
139,19.0,168.0,53.0,female,right handed,False,True,False,False,False,False
140,19.0,175.0,52.0,female,right handed,False,True,False,False,False,False
141,19.0,170.0,65.0,female,right handed,False,False,False,True,False,False
142,,,,male,left handed,False,False,False,True,False,False
143,20.0,168.0,62.0,female,right handed,True,False,False,False,False,False
144,21.0,180.0,66.0,male,right handed,True,False,False,False,False,False
145,19.0,165.0,78.0,female,right handed,True,False,False,False,False,False
146,21.0,180.0,72.0,male,right handed,True,False,False,False,False,False
147,18.0,185.0,83.0,male,right handed,True,False,False,False,False,False
148,20.0,165.0,55.0,male,right handed,True,False,False,False,False,False
149,19.0,184.0,85.0,male,right handed,False,True,False,False,False,False
150,22.0,177.0,61.0,female,right handed,True,False,False,False,False,False
151,20.0,180.0,100.0,male,right handed,True,False,False,False,False,False
152,25.0,170.0,72.0,male,right handed,False,True,False,False,False,False
153,21.0,170.0,52.0,female,right handed,False,True,False,False,False,False
154,24.0,185.0,81.0,male,right handed,False,True,False,False,False,False
155,19.0,171.0,72.0,female,right handed,True,False,False,False,False,False
156,25.0,177.0,97.0,male,left handed,False,False,False,False,False,True
157,26.0,175.0,60.0,male,right handed,False,False,True,False,False,False
158,15.0,160.0,48.0,female,right handed,False,False,False,False,True,False
159,20.0,190.0,70.0,male,right handed,True,False,False,False,False,False
160,19.0,194.0,79.0,male,right handed,True,False,False,False,False,False
161,20.0,172.0,73.0,female,left handed,True,False,False,False,False,False
162,21.0,190.0,89.0,male,left handed,False,True,False,False,False,False
163,22.0,184.0,71.0,male,right handed,True,False,False,False,False,False
164,20.0,188.0,,male,right handed,True,False,False,False,False,False
165,20.0,168.0,60.0,female,right handed,False,True,False,False,False,False
166,21.0,161.0,65.0,female,right handed,True,False,False,False,False,False
167,21.0,183.0,98.0,male,right handed,False,False,False,True,False,False
168,20.0,180.0,71.0,female,right handed,True,False,False,False,False,False
169,19.0,157.0,57.0,female,right handed,True,False,False,False,False,False
170,19.0,176.0,64.0,male,right handed,True,False,False,False,False,False
171,20.0,180.0,72.0,male,right handed,True,False,False,False,False,False
172,22.0,191.0,85.0,male,right handed,True,False,False,False,False,False
173,21.0,187.0,75.0,male,right handed,True,False,False,False,False,False
174,26.0,183.0,78.0,male,right handed,True,False,False,False,False,False
175,17.0,163.0,61.0,female,right handed,False,False,False,True,False,False
176,22.0,178.0,80.0,male,right handed,False,True,False,False,False,False
177,26.0,169.0,70.0,male,right handed,False,False,True,False,False,False
178,20.0,160.0,50.0,female,right handed,False,False,True,False,False,False
179,22.0,182.0,75.0,male,right handed,True,False,False,False,False,False
180,21.0,175.0,60.0,male,right handed,True,False,False,False,False,False
181,23.0,180.0,80.0,male,right handed,True,False,False,False,False,False
182,19.0,158.0,47.0,female,right handed,True,False,False,False,False,False
183,20.0,180.0,70.0,male,right handed,False,True,False,False,False,False
184,21.0,174.0,85.0,female,right handed,False,True,False,False,False,False
185,19.0,167.0,55.0,female,right handed,True,False,False,False,False,False
186,29.0,169.0,65.0,female,right handed,False,False,True,False,False,False
187,22.0,183.0,80.0,female,right handed,False,True,False,False,False,False
188,19.0,170.0,55.0,female,left handed,False,True,False,False,False,False
189,17.0,166.0,54.0,female,right handed,False,False,False,True,False,False
190,16.0,158.0,48.0,female,left handed,False,False,False,True,False,False
191,29.0,160.0,67.0,female,right handed,False,False,True,False,False,False
192,18.0,158.0,65.0,female,right handed,True,False,False,False,False,False
193,26.0,169.0,70.0,male,right handed,False,False,True,False,False,False
194,19.0,183.0,78.0,male,right handed,True,False,False,False,False,False
195,19.0,185.0,70.0,male,right handed,True,False,False,False,False,False
196,20.0,169.0,64.0,female,right handed,True,False,False,False,False,False
197,22.0,160.0,47.0,female,right handed,False,True,False,False,False,False
198,20.0,186.0,88.0,male,right handed,True,False,False,False,False,False
199,21.0,186.0,89.0,male,right handed,True,False,False,False,False,False
200,21.0,169.0,55.0,male,right handed,True,False,False,False,False,False
201,18.0,168.0,56.0,,right handed,True,False,False,False,False,False
202,15.0,181.0,63.0,male,right handed,False,False,False,True,False,False
203,19.0,163.0,50.0,female,right handed,False,True,False,False,False,False
204,24.0,169.0,51.0,female,right handed,False,True,False,False,False,False
205,19.0,160.0,53.0,female,right handed,True,False,False,False,False,False
206,25.0,184.0,85.0,male,left handed,False,True,False,False,False,False
207,20.0,170.0,62.0,female,right handed,False,True,False,False,False,False
208,19.0,170.0,60.0,female,right handed,True,False,False,False,False,False
209,21.0,,,male,right handed,True,False,False,False,False,False
210,23.0,184.0,82.0,male,right handed,True,False,False,False,False,False
211,21.0,176.0,55.0,female,right handed,True,False,False,False,False,False
212,20.0,170.0,62.0,male,right handed,True,False,False,False,False,False
213,20.0,168.0,69.0,female,right handed,True,False,False,False,False,False
214,18.0,173.0,55.0,female,right handed,False,False,False,True,False,False
215,27.0,180.0,80.0,male,right handed,True,False,False,False,False,False
216,17.0,163.0,68.0,female,right handed,True,False,False,False,False,False
217,19.0,178.0,60.0,female,right handed,False,False,False,True,False,False
218,18.0,182.0,70.0,male,right handed,False,False,False,True,False,False
219,26.0,192.0,90.0,male,right handed,True,False,False,False,False,False
220,18.0,200.0,90.0,male,right handed,True,False,False,False,False,False
221,30.0,178.0,71.0,male,right handed,False,False,True,False,False,False
222,24.0,153.0,42.0,female,right handed,True,False,False,False,False,False
223,20.0,168.0,51.0,female,right handed,True,False,False,False,False,False
224,20.0,172.0,56.0,male,right handed,True,False,False,False,False,False
225,20.0,176.0,64.0,male,right handed,True,False,False,False,False,False
226,25.0,164.0,54.0,,right handed,True,False,False,False,False,False
227,19.0,168.0,68.0,female,right handed,True,False,False,False,False,False
228,20.0,157.0,48.0,female,right handed,True,False,False,False,False,False
229,21.0,173.0,73.0,male,right handed,True,False,False,False,False,False
230,19.0,173.0,63.0,female,right handed,True,False,False,False,False,False
231,19.0,171.0,55.0,female,right handed,True,False,False,False,False,False
232,19.0,168.0,60.0,female,right handed,True,False,False,False,False,False
233,18.0,165.0,48.0,female,right handed,False,False,False,True,False,False
234,18.0,168.0,65.0,female,right handed,False,True,False,False,False,False
235,16.0,174.0,64.0,female,right handed,True,False,False,False,False,False
236,19.0,171.0,57.0,female,right handed,True,False,False,False,False,False
237,18.0,173.0,64.0,female,right handed,True,False,False,False,False,False
238,19.0,157.0,48.0,female,right handed,False,False,False,True,False,False
239,21.0,173.0,59.0,female,left handed,True,False,False,False,False,False
240,21.0,180.0,80.0,male,right handed,False,True,False,False,False,False
241,18.0,180.0,60.0,female,right handed,True,False,False,False,False,False
242,21.0,175.0,63.0,female,right handed,True,False,False,False,False,False
243,17.0,178.0,70.0,female,right handed,True,False,False,False,False,False
244,20.0,160.0,46.0,female,right handed,True,False,False,False,False,False
245,19.0,172.0,60.0,female,right handed,False,False,False,True,False,False
246,27.0,180.0,80.0,male,right handed,False,False,True,False,False,False
247,22.0,165.0,68.0,female,right handed,False,True,False,False,False,False
248,19.0,160.0,55.0,female,right handed,True,False,False,False,False,False
249,19.0,165.0,55.0,female,right handed,True,False,False,False,False,False
250,20.0,176.0,63.0,female,right handed,True,False,False,False,False,False
251,19.0,164.0,60.0,female,right handed,True,False,False,False,False,False
252,20.0,155.0,44.0,female,right handed,True,False,False,False,False,False
253,17.0,167.0,57.0,female,left handed,False,False,False,True,False,False
254,23.0,171.0,59.0,female,right handed,True,False,False,False,False,False
255,20.0,158.0,50.0,female,right handed,True,False,False,False,False,False
256,20.0,170.0,60.0,female,right handed,True,False,False,False,False,False
257,19.0,182.0,65.0,male,right handed,True,False,False,False,False,False
258,20.0,182.0,63.0,female,right handed,True,False,False,False,False,False
259,19.0,175.0,72.0,male,right handed,True,False,False,False,False,False
260,19.0,197.0,96.0,male,right handed,True,False,False,False,False,False
261,18.0,170.0,50.0,female,right handed,True,False,False,False,False,False
262,19.0,165.0,55.0,female,right handed,True,False,False,False,False,False
263,15.0,176.0,53.0,female,right handed,True,False,False,False,False,False
264,19.0,167.0,54.0,female,right handed,False,True,False,False,False,False
265,15.0,170.0,49.0,female,right handed,True,False,False,False,False,False
266,19.0,168.0,72.0,female,right handed,True,False,False,False,False,False
267,21.0,163.0,49.0,female,left handed,False,False,True,False,False,False
268,19.0,152.0,47.0,female,right handed,False,True,False,False,False,False
269,17.0,158.0,57.0,female,right handed,True,False,False,False,False,False
270,23.0,165.0,70.0,female,right handed,False,True,False,False,False,False
271,24.0,177.0,80.0,male,right handed,True,False,False,False,False,False
272,19.0,170.0,55.0,female,right handed,True,False,False,False,False,False
273,19.0,178.0,67.0,female,right handed,False,True,False,False,False,False
274,22.0,170.0,60.0,female,right handed,True,False,False,False,False,False
275,20.0,170.0,70.0,female,right handed,False,True,False,False,False,False
276,21.0,,,female,right handed,False,True,False,False,False,False
277,19.0,188.0,76.0,male,right handed,True,False,False,False,False,False
278,19.0,180.0,85.0,male,right handed,True,False,False,False,False,False
279,20.0,161.0,53.0,female,right handed,False,True,False,False,False,False
280,18.0,178.0,69.0,female,right handed,True,False,False,False,False,False
281,19.0,178.0,74.0,male,right handed,True,False,False,False,False,False
282,20.0,165.0,50.0,female,right handed,True,False,False,False,False,False
283,22.0,187.0,91.0,male,right handed,True,False,False,False,False,False
284,20.0,178.0,68.0,male,right handed,True,False,False,False,False,False
285,20.0,168.0,55.0,female,right handed,True,False,False,False,False,False
286,27.0,168.0,55.0,female,right handed,False,False,True,False,False,False
287,19.0,180.0,57.0,female,right handed,True,False,False,False,False,False
288,22.0,192.0,80.0,male,left handed,True,False,False,False,False,False
289,19.0,188.0,98.0,male,right handed,False,True,False,False,False,False
290,20.0,173.0,58.0,female,right handed,True,False,False,False,False,False
291,20.0,193.0,85.0,male,right handed,True,False,False,False,False,False
292,21.0,184.0,120.0,female,right handed,True,False,False,False,False,False
293,16.0,167.0,62.0,female,right handed,False,False,False,True,False,False
294,19.0,177.0,63.0,female,right handed,True,False,False,False,False,False
295,18.0,167.0,57.0,female,right handed,True,False,False,False,False,False
296,23.0,190.0,90.0,male,right handed,False,True,False,False,False,False
297,19.0,187.0,83.0,male,right handed,True,False,False,False,False,False
298,19.0,163.0,51.0,female,right handed,True,False,False,False,False,False
299,22.0,173.0,52.0,female,right handed,False,True,False,False,False,False
300,18.0,165.0,65.0,female,right handed,True,False,False,False,False,False
301,20.0,190.0,92.0,male,right handed,False,True,False,False,False,False
302,19.0,178.0,58.0,female,right handed,True,False,False,False,False,False
303,25.0,167.0,76.0,female,right handed,False,False,True,False,False,False
304,18.0,160.0,53.0,female,right handed,True,False,False,False,False,False
305,20.0,169.0,64.0,female,right handed,False,True,False,False,False,False
306,15.0,174.0,63.0,female,right handed,False,False,False,True,False,False
307,19.0,176.0,68.0,female,right handed,True,False,False,False,False,False
308,19.0,178.0,68.0,female,right handed,True,False,False,False,False,False
309,16.0,158.0,50.0,female,right handed,True,False,False,False,False,False
310,19.0,180.0,78.0,male,right handed,False,True,False,False,False,False
311,18.0,167.0,57.0,female,right handed,False,True,False,False,False,False
312,15.0,170.0,75.0,male,right handed,False,False,False,True,False,False
313,20.0,170.0,55.0,female,right handed,True,False,False,False,False,False
314,20.0,180.0,75.0,male,right handed,True,False,False,False,False,False
315,20.0,184.0,68.0,male,left handed,True,False,False,False,False,False
316,20.0,170.0,60.0,female,right handed,True,False,False,False,False,False
317,19.0,180.0,65.0,male,right handed,True,False,False,False,False,False
318,16.0,169.0,48.0,female,right handed,False,False,False,False,True,False
319,18.0,166.0,65.0,female,left handed,True,False,False,False,False,False
320,20.0,178.0,88.0,male,right handed,True,False,False,False,False,False
321,16.0,162.0,55.0,female,right handed,False,True,False,False,False,False
322,18.0,160.0,50.0,female,right handed,False,False,False,True,False,False
323,20.0,178.0,68.0,male,left handed,True,False,False,False,False,False
324,18.0,168.0,65.0,female,right handed,False,False,False,True,False,False
325,19.0,185.0,62.0,male,right handed,True,False,False,False,False,False
326,19.0,175.0,58.0,female,right handed,False,True,False,False,False,False
327,20.0,167.0,55.0,female,right handed,True,False,False,False,False,False
328,18.0,193.0,84.0,male,right handed,False,True,False,False,False,False
329,17.0,160.0,60.0,female,right handed,False,False,False,True,False,False
330,22.0,171.0,52.0,female,right handed,True,False,False,False,False,False
331,17.0,182.0,92.0,male,right handed,True,False,False,False,False,False
332,22.0,165.0,60.0,female,right handed,True,False,False,False,False,False
333,16.0,174.0,65.0,female,right handed,True,False,False,False,False,False
334,24.0,169.0,50.0,female,right handed,False,False,True,False,False,False
335,17.0,185.0,73.0,male,right handed,False,False,False,True,False,False
336,17.0,170.0,60.0,male,left handed,True,False,False,False,False,False
337,17.0,182.0,76.0,male,right handed,True,False,False,False,False,False
338,15.0,165.0,48.0,female,left handed,True,False,False,False,False,False
339,18.0,160.0,50.0,female,right handed,False,False,False,True,False,False
340,18.0,158.0,53.0,female,right handed,False,False,False,True,False,False
341,16.0,186.0,63.0,male,right handed,False,False,False,True,False,False
342,20.0,173.0,68.0,female,right handed,True,False,False,False,False,False
343,29.0,168.0,56.0,female,right handed,False,False,True,False,False,False
344,24.0,172.0,68.0,female,right handed,False,True,False,False,False,False
345,18.0,164.0,60.0,female,right handed,True,False,False,False,False,False
346,17.0,185.0,70.0,male,right handed,False,False,False,True,False,False
347,18.0,175.0,65.0,male,left handed,False,False,False,True,False,False
348,16.0,182.0,75.0,male,right handed,True,False,False,False,False,False
349,17.0,170.0,65.0,female,right handed,False,False,False,True,False,False
350,20.0,187.0,68.0,male,right handed,False,True,False,False,False,False
351,16.0,169.0,63.0,female,right handed,False,False,False,True,False,False
352,19.0,189.0,76.0,male,right handed,True,False,False,False,False,False
353,18.0,166.0,60.0,female,right handed,True,False,False,False,False,False
354,20.0,161.0,59.0,female,right handed,True,False,False,False,False,False
355,19.0,180.0,80.0,male,right handed,True,False,False,False,False,False
356,18.0,185.0,74.0,male,left handed,True,False,False,False,False,False
357,21.0,179.0,96.0,male,right handed,True,False,False,False,False,False
358,19.0,170.0,68.0,male,right handed,False,True,False,False,False,False
359,20.0,184.0,72.0,female,right handed,True,False,False,False,False,False
360,23.0,180.0,62.0,female,right handed,False,True,False,False,False,False
361,19.0,166.0,58.0,female,right handed,False,True,False,False,False,False
362,19.0,167.0,50.0,female,right handed,False,True,False,False,False,False
363,19.0,167.0,50.0,female,right handed,False,True,False,False,False,False
364,20.0,178.0,75.0,male,right handed,False,True,False,False,False,False
365,24.0,175.0,70.0,male,right handed,False,True,False,False,False,False
366,19.0,190.0,85.0,male,right handed,False,True,False,False,False,False
367,20.0,178.0,67.0,male,right handed,True,False,False,False,False,False
368,18.0,179.0,55.0,female,right handed,False,False,False,True,False,False
369,17.0,180.0,78.0,male,left handed,False,False,False,True,False,False
370,19.0,168.0,58.0,female,right handed,True,False,False,False,False,False
371,19.0,164.0,53.0,female,right handed,True,False,False,False,False,False
372,20.0,187.0,56.0,male,right handed,True,False,False,False,False,False
373,20.0,174.0,72.0,male,left handed,False,True,False,False,False,False
374,21.0,176.0,62.0,female,right handed,True,False,False,False,False,False
375,20.0,170.0,60.0,female,right handed,True,False,False,False,False,False
376,20.0,170.0,56.0,female,right handed,True,False,False,False,False,False
377,17.0,158.0,70.0,female,right handed,True,False,False,False,False,False
378,20.0,175.0,53.0,female,right handed,True,False,False,False,False,False
379,25.0,174.0,67.0,male,right handed,False,False,True,False,False,False
380,20.0,170.0,58.0,female,left handed,True,False,False,False,False,False
381,21.0,173.0,58.0,female,right handed,True,False,False,False,False,False
382,21.0,158.0,49.0,female,right handed,True,False,False,False,False,False
383,22.0,185.0,90.0,male,right handed,False,True,False,False,False,False
384,19.0,170.0,58.0,female,right handed,True,False,False,False,False,False
385,25.0,178.0,77.0,male,right handed,False,True,False,False,False,False
386,19.0,166.0,55.0,female,right handed,True,False,False,False,False,False
387,25.0,167.0,64.0,female,right handed,False,False,True,False,False,False
388,25.0,169.0,60.0,female,right handed,False,False,True,False,False,False
389,21.0,168.0,60.0,female,right handed,True,False,False,False,False,False
390,20.0,178.0,65.0,male,right handed,True,False,False,False,False,False
391,24.0,165.0,49.0,female,right handed,False,False,True,False,False,False
392,30.0,160.0,47.0,female,right handed,False,False,True,False,False,False
393,21.0,176.0,75.0,male,right handed,True,False,False,False,False,False
394,27.0,186.0,77.0,male,right handed,False,False,True,False,False,False
395,21.0,172.0,68.0,male,right handed,False,True,False,False,False,False
396,16.0,164.0,50.0,female,right handed,False,False,False,True,False,False
397,21.0,175.0,75.0,female,right handed,False,True,False,False,False,False
398,20.0,165.0,60.0,female,right handed,False,True,False,False,False,False
399,22.0,160.0,65.0,female,right handed,True,False,False,False,False,False
400,19.0,180.0,80.0,male,left handed,True,False,False,False,False,False
401,20.0,170.0,90.0,female,right handed,True,False,False,False,False,False
402,25.0,180.0,95.0,male,right handed,False,False,True,False,False,False
403,23.0,175.0,79.0,male,right handed,True,False,False,False,False,False
404,20.0,167.0,57.0,female,right handed,False,True,False,False,False,False
405,20.0,165.0,,female,left handed,True,False,False,False,False,False
406,21.0,168.0,60.0,female,left handed,True,False,False,False,False,False
407,19.0,166.0,44.0,female,left handed,True,False,False,False,False,False
408,21.0,164.0,58.0,female,right handed,False,True,False,False,False,False
409,16.0,165.0,50.0,female,right handed,False,False,False,False,True,False
410,20.0,180.0,88.0,male,right handed,True,False,False,False,False,False
411,18.0,173.0,60.0,female,right handed,True,False,False,False,False,False
412,21.0,168.0,54.0,female,right handed,True,False,False,False,False,False
413,21.0,177.0,68.0,male,right handed,True,False,False,False,False,False
414,18.0,167.0,56.0,male,right handed,False,True,False,False,False,False
415,19.0,173.0,69.0,female,right handed,True,False,False,False,False,False
416,20.0,170.0,54.0,female,left handed,True,False,False,False,False,False
417,18.0,180.0,60.0,male,right handed,True,False,False,False,False,False
418,18.0,172.0,60.0,female,right handed,False,False,False,True,False,False
419,23.0,158.0,53.0,female,right handed,True,False,False,False,False,False
420,20.0,165.0,52.0,female,right handed,True,False,False,False,False,False
421,18.0,168.0,55.0,female,left handed,True,False,False,False,False,False
422,28.0,180.0,76.0,female,right handed,False,True,False,False,False,False
423,24.0,163.0,67.0,female,right handed,False,False,True,False,False,False
424,19.0,154.0,60.0,female,right handed,True,False,False,False,False,False
425,21.0,161.0,57.0,female,right handed,True,False,False,False,False,False
426,22.0,160.0,65.0,female,right handed,False,False,True,False,False,False
427,19.0,180.0,77.0,male,right handed,True,False,False,False,False,False
428,18.0,164.0,56.0,female,right handed,False,False,False,True,False,False
429,21.0,162.0,62.0,female,right handed,True,False,False,False,False,False
430,19.0,170.0,53.0,female,right handed,False,False,True,False,False,False
431,19.0,185.0,78.0,male,left handed,True,False,False,False,False,False
432,20.0,184.0,80.0,male,right handed,True,False,False,False,False,False
433,19.0,170.0,56.0,female,right handed,True,False,False,False,False,False
